travelCode,User_ID_x,Departure,Arrival,flightType,Flight_price,Flight_duration,Flight_Distance,Flight_agency,Departure_date,User_ID_y,Hotel_Name,Arrival_place,Hotel_stay,Hotel_per_day_price,Check-in_x,Hotel_TotalPrice,User_ID,Check-in_y,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,Car_total_distance,fuelPolicy,Car_bookingStatus,total_rent_price,car_booking
8329,82,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,19/03/2020,82,Hotel K,Salvador (BH),1,263.41,03/19/2020,263.41,82.0,03/19/2020,Fullerfurt,New Thomas,Sedan,Sixt,5.0,84.0,Full-to-Full,Confirmed,1525.0,1
8333,82,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,16/04/2020,82,Hotel BP,Brasilia (DF),3,247.62,04/16/2020,742.86,82.0,04/16/2020,Brianberg,Jennifertown,Hatchback,Avis,4.0,276.0,Partial,Pending,2644.0,1
8356,82,Aracaju (SE),Sao Paulo (SP),firstClass,756.3,1.02,392.76,FlyingDrops,24/09/2020,82,Hotel AF,Sao Paulo (SP),1,139.1,09/24/2020,139.1,82.0,09/24/2020,Port Jeffrey,South Christopher,Hatchback,Budget,3.0,102.0,Full-to-Full,Confirmed,1212.0,1
8357,82,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,10/01/2020,82,Hotel K,Salvador (BH),2,263.41,10/01/2020,526.82,82.0,10/01/2020,Tylerland,West Melissaport,Sedan,Enterprise,5.0,260.0,Partial,Confirmed,3268.0,1
8372,82,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,14/01/2021,82,Hotel AF,Sao Paulo (SP),4,139.1,01/14/2021,556.4,82.0,01/14/2021,Washingtonside,Lake Justinbury,SUV,Avis,1.0,119.0,Prepaid,Confirmed,1929.0,1
8385,82,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,15/04/2021,82,Hotel K,Salvador (BH),1,263.41,04/15/2021,263.41,82.0,04/15/2021,New Gregorytown,Lake Micheleside,Luxury,Avis,2.0,153.0,Full-to-Full,Pending,4198.0,1
8550,83,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,09/10/2020,83,Hotel CB,Rio de Janeiro (RJ),3,165.99,09/10/2020,497.97,83.0,09/10/2020,Angiestad,Villanuevashire,Luxury,Budget,5.0,198.0,Prepaid,Confirmed,5520.0,1
8704,84,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,12/10/2020,84,Hotel K,Salvador (BH),4,263.41,12/10/2020,1053.64,84.0,12/10/2020,Lake Isaiahtown,Brownville,Sedan,Avis,3.0,180.0,Partial,Cancelled,2336.0,1
8834,90,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,24/10/2019,90,Hotel AU,Recife (PE),4,312.83,10/24/2019,1251.32,90.0,10/24/2019,Donnaside,Christopherville,Hatchback,Hertz,2.0,237.0,Full-to-Full,Cancelled,2207.0,1
8881,90,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,17/09/2020,90,Hotel BD,Natal (RN),3,242.88,09/17/2020,728.64,90.0,09/17/2020,Craneburgh,West Jasmineberg,Luxury,Avis,3.0,147.0,Prepaid,Confirmed,4218.0,1
8899,90,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,21/01/2021,90,Hotel K,Salvador (BH),3,263.41,01/21/2021,790.23,90.0,01/21/2021,Rodriguezville,West Miaside,Luxury,Sixt,2.0,131.0,Prepaid,Cancelled,3751.0,1
8915,90,Recife (PE),Campo Grande (MS),firstClass,1110.76,1.39,535.4,CloudFy,13/05/2021,90,Hotel BW,Campo Grande (MS),2,60.39,05/13/2021,120.78,90.0,05/13/2021,Melissaberg,West Rebecca,Sedan,Sixt,1.0,475.0,Prepaid,Cancelled,5131.0,1
8951,90,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,20/01/2022,90,Hotel BW,Campo Grande (MS),1,60.39,01/20/2022,60.39,90.0,01/20/2022,Chapmanshire,Port Austinshire,Hatchback,Hertz,3.0,210.0,Prepaid,Pending,2077.0,1
8960,90,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,24/03/2022,90,Hotel CB,Rio de Janeiro (RJ),4,165.99,03/24/2022,663.96,90.0,03/24/2022,East Johnton,Danielleport,SUV,Budget,5.0,91.0,Prepaid,Pending,1976.0,1
8986,90,Recife (PE),Florianopolis (SC),economic,803.39,1.76,676.53,Rainbow,22/09/2022,90,Hotel A,Florianopolis (SC),1,313.02,09/22/2022,313.02,90.0,09/22/2022,Port Paulfurt,Timothyland,SUV,Hertz,1.0,340.0,Prepaid,Confirmed,4588.0,1
9007,90,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,16/02/2023,90,Hotel BD,Natal (RN),4,242.88,02/16/2023,971.52,90.0,02/16/2023,New Rodney,East Ryan,Luxury,Sixt,1.0,445.0,Full-to-Full,Confirmed,9889.0,1
9019,91,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,10/10/2019,91,Hotel BD,Natal (RN),2,242.88,10/10/2019,485.76,91.0,10/10/2019,Steventown,New Juliestad,Luxury,Enterprise,2.0,192.0,Partial,Cancelled,4960.0,1
9052,91,Recife (PE),Rio de Janeiro (RJ),premium,1351.89,2.3,885.57,Rainbow,28/05/2020,91,Hotel CB,Rio de Janeiro (RJ),1,165.99,05/28/2020,165.99,91.0,05/28/2020,Morrisfurt,Matthewmouth,Sedan,Budget,2.0,144.0,Full-to-Full,Cancelled,1909.0,1
9113,92,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,01/09/2020,92,Hotel BW,Campo Grande (MS),2,60.39,01/09/2020,120.78,92.0,01/09/2020,Waltersland,Kennethhaven,Hatchback,Avis,3.0,441.0,Prepaid,Cancelled,3915.0,1
9115,92,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,23/01/2020,92,Hotel CB,Rio de Janeiro (RJ),4,165.99,01/23/2020,663.96,92.0,01/23/2020,Richmondstad,Port Karenberg,Hatchback,Sixt,5.0,358.0,Full-to-Full,Pending,3330.0,1
9139,93,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,02/06/2020,93,Hotel AU,Recife (PE),1,312.83,02/06/2020,312.83,93.0,02/06/2020,Port Bethany,North Jimmyview,SUV,Hertz,2.0,91.0,Full-to-Full,Cancelled,1685.0,1
9193,93,Brasilia (DF),Rio de Janeiro (RJ),firstClass,649.64,0.48,183.37,CloudFy,18/02/2021,93,Hotel CB,Rio de Janeiro (RJ),1,165.99,02/18/2021,165.99,93.0,02/18/2021,Brittanyfurt,Lake Carlyport,Sedan,Hertz,5.0,276.0,Full-to-Full,Cancelled,3422.0,1
9198,93,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,25/03/2021,93,Hotel CB,Rio de Janeiro (RJ),1,165.99,03/25/2021,165.99,93.0,03/25/2021,Coxhaven,North Jasonside,Luxury,Budget,1.0,112.0,Prepaid,Confirmed,3208.0,1
9201,93,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,15/04/2021,93,Hotel AF,Sao Paulo (SP),1,139.1,04/15/2021,139.1,93.0,04/15/2021,Port Amandabury,Henryfort,Sedan,Budget,2.0,343.0,Prepaid,Confirmed,3915.0,1
9244,93,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,02/10/2022,93,Hotel BW,Campo Grande (MS),3,60.39,02/10/2022,181.17,93.0,02/10/2022,West Tony,Port Katie,Sedan,Hertz,1.0,373.0,Full-to-Full,Cancelled,4135.0,1
9363,94,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,2.3,885.57,CloudFy,12/03/2020,94,Hotel CB,Rio de Janeiro (RJ),2,165.99,12/03/2020,331.98,94.0,12/03/2020,Mcdonaldview,Kaneville,Luxury,Avis,3.0,84.0,Full-to-Full,Cancelled,2954.0,1
9456,94,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,15/09/2022,94,Hotel K,Salvador (BH),4,263.41,09/15/2022,1053.64,94.0,09/15/2022,Weeksland,North Aaronfurt,Hatchback,Enterprise,4.0,207.0,Partial,Pending,2086.0,1
9550,95,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,15/10/2020,95,Hotel Z,Aracaju (SE),1,208.04,10/15/2020,208.04,95.0,10/15/2020,Normanbury,West Carolmouth,SUV,Hertz,4.0,360.0,Partial,Cancelled,5106.0,1
9608,95,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,25/11/2021,95,Hotel BD,Natal (RN),3,242.88,11/25/2021,728.64,95.0,11/25/2021,New Donaldland,Port James,Luxury,Sixt,3.0,121.0,Prepaid,Cancelled,3694.0,1
9724,96,Brasilia (DF),Florianopolis (SC),firstClass,1487.52,1.66,637.56,CloudFy,18/11/2021,96,Hotel A,Florianopolis (SC),3,313.02,11/18/2021,939.06,96.0,11/18/2021,Hodgeport,East Jessica,Hatchback,Avis,3.0,184.0,Full-to-Full,Cancelled,1832.0,1
9731,96,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,01/06/2022,96,Hotel BW,Campo Grande (MS),1,60.39,01/06/2022,60.39,96.0,01/06/2022,Lake Mark,West Anthonyshire,Hatchback,Sixt,1.0,409.0,Full-to-Full,Pending,3540.0,1
9820,97,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,27/05/2021,97,Hotel BW,Campo Grande (MS),1,60.39,05/27/2021,60.39,97.0,05/27/2021,Nathanborough,Lisaview,Luxury,Avis,2.0,332.0,Prepaid,Pending,7773.0,1
9886,99,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,26/03/2020,99,Hotel AU,Recife (PE),2,312.83,03/26/2020,625.66,99.0,03/26/2020,North Kari,West Keith,Luxury,Hertz,4.0,242.0,Prepaid,Cancelled,6288.0,1
9896,100,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,28/11/2019,100,Hotel K,Salvador (BH),3,263.41,11/28/2019,790.23,100.0,11/28/2019,South Patriciashire,Davisbury,Sedan,Hertz,5.0,285.0,Partial,Pending,3526.0,1
9971,100,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,05/06/2021,100,Hotel BD,Natal (RN),2,242.88,05/06/2021,485.76,100.0,05/06/2021,New Frederickfurt,South Kimberly,SUV,Sixt,4.0,293.0,Prepaid,Pending,4297.0,1
10073,101,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,23/07/2020,101,Hotel AF,Sao Paulo (SP),3,139.1,07/23/2020,417.3,101.0,07/23/2020,Port Josephhaven,North Juliefort,Hatchback,Enterprise,3.0,107.0,Prepaid,Pending,1240.0,1
10079,101,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,09/03/2020,101,Hotel AU,Recife (PE),2,312.83,09/03/2020,625.66,101.0,09/03/2020,Parkerside,Lake Melissa,Sedan,Sixt,2.0,189.0,Partial,Cancelled,2371.0,1
10163,103,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,10/01/2020,103,Hotel CB,Rio de Janeiro (RJ),3,165.99,10/01/2020,497.97,103.0,10/01/2020,West Misty,West Lindsaybury,Luxury,Enterprise,3.0,269.0,Full-to-Full,Pending,6653.0,1
10266,104,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,13/05/2021,104,Hotel Z,Aracaju (SE),1,208.04,05/13/2021,208.04,104.0,05/13/2021,Escobarbury,Hensonhaven,Luxury,Sixt,4.0,422.0,Prepaid,Cancelled,9886.0,1
10275,104,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,15/07/2021,104,Hotel A,Florianopolis (SC),2,313.02,07/15/2021,626.04,104.0,07/15/2021,North Craig,West Adamland,SUV,Enterprise,2.0,84.0,Partial,Cancelled,1618.0,1
10278,104,Brasilia (DF),Campo Grande (MS),firstClass,1069.61,0.72,277.7,Rainbow,08/05/2021,104,Hotel BW,Campo Grande (MS),1,60.39,08/05/2021,60.39,104.0,08/05/2021,Nathanview,Kimton,SUV,Budget,1.0,241.0,Full-to-Full,Pending,3407.0,1
10348,105,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,26/03/2020,105,Hotel BP,Brasilia (DF),4,247.62,03/26/2020,990.48,105.0,03/26/2020,Jaymouth,Gracestad,SUV,Avis,3.0,147.0,Partial,Pending,2452.0,1
10392,105,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,28/01/2021,105,Hotel CB,Rio de Janeiro (RJ),1,165.99,01/28/2021,165.99,105.0,01/28/2021,Johnville,Port Savannahchester,Hatchback,Budget,5.0,185.0,Partial,Cancelled,1941.0,1
10413,105,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,24/06/2021,105,Hotel K,Salvador (BH),3,263.41,06/24/2021,790.23,105.0,06/24/2021,New Matthew,West Lindsayport,Sedan,Avis,4.0,101.0,Partial,Pending,1609.0,1
10429,105,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,14/10/2021,105,Hotel Z,Aracaju (SE),3,208.04,10/14/2021,624.12,105.0,10/14/2021,Ayersborough,New Sarah,SUV,Budget,5.0,467.0,Full-to-Full,Cancelled,6468.0,1
10510,106,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,31/10/2019,106,Hotel AF,Sao Paulo (SP),2,139.1,10/31/2019,278.2,106.0,10/31/2019,Natashaville,North Patrick,Hatchback,Sixt,1.0,425.0,Prepaid,Confirmed,3679.0,1
10533,106,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,04/09/2020,106,Hotel BW,Campo Grande (MS),3,60.39,04/09/2020,181.17,106.0,04/09/2020,East Michellestad,Lake Zacharyville,Sedan,Hertz,5.0,191.0,Prepaid,Cancelled,2590.0,1
10560,106,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,15/10/2020,106,Hotel AU,Recife (PE),1,312.83,10/15/2020,312.83,106.0,10/15/2020,South Brentside,Lovetown,Luxury,Hertz,5.0,337.0,Full-to-Full,Confirmed,8314.0,1
10572,106,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,01/07/2021,106,Hotel AU,Recife (PE),3,312.83,01/07/2021,938.49,106.0,01/07/2021,South Barbara,Sextonchester,Hatchback,Budget,5.0,111.0,Partial,Confirmed,1382.0,1
10616,106,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,2.3,885.57,FlyingDrops,11/11/2021,106,Hotel CB,Rio de Janeiro (RJ),3,165.99,11/11/2021,497.97,106.0,11/11/2021,South Susanfurt,North Christinaburgh,Luxury,Avis,5.0,78.0,Partial,Cancelled,3159.0,1
10639,106,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,21/04/2022,106,Hotel AF,Sao Paulo (SP),2,139.1,04/21/2022,278.2,106.0,04/21/2022,New Courtneymouth,Kathrynport,Sedan,Budget,5.0,95.0,Partial,Cancelled,1630.0,1
10655,106,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,08/11/2022,106,Hotel A,Florianopolis (SC),3,313.02,08/11/2022,939.06,106.0,08/11/2022,Westview,Lopezbury,Hatchback,Hertz,3.0,216.0,Full-to-Full,Confirmed,2093.0,1
10671,107,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,01/02/2020,107,Hotel BW,Campo Grande (MS),2,60.39,01/02/2020,120.78,107.0,01/02/2020,Lake Kayleetown,South Stephanie,Luxury,Enterprise,2.0,275.0,Prepaid,Confirmed,6650.0,1
10738,107,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,15/04/2021,107,Hotel BW,Campo Grande (MS),4,60.39,04/15/2021,241.56,107.0,04/15/2021,New Jennifer,Lake Mackenzie,SUV,Hertz,5.0,206.0,Full-to-Full,Cancelled,3344.0,1
10755,107,Aracaju (SE),Natal (RN),economic,332.1,0.46,176.33,CloudFy,08/12/2021,107,Hotel BD,Natal (RN),3,242.88,08/12/2021,728.64,107.0,08/12/2021,East Laurenshire,Lake Aaron,Sedan,Avis,4.0,311.0,Full-to-Full,Confirmed,3728.0,1
10822,108,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,13/02/2020,108,Hotel K,Salvador (BH),1,263.41,02/13/2020,263.41,108.0,02/13/2020,West Jasonville,Vickieberg,Hatchback,Avis,2.0,252.0,Partial,Pending,2331.0,1
10842,108,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,07/02/2020,108,Hotel BW,Campo Grande (MS),1,60.39,07/02/2020,60.39,108.0,07/02/2020,Lake Rebeccamouth,Andersontown,Hatchback,Sixt,3.0,226.0,Prepaid,Confirmed,2174.0,1
10879,109,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,14/05/2020,109,Hotel BP,Brasilia (DF),3,247.62,05/14/2020,742.86,109.0,05/14/2020,Kellymouth,Joneston,Hatchback,Budget,4.0,432.0,Partial,Pending,3866.0,1
10884,109,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,18/06/2020,109,Hotel BW,Campo Grande (MS),1,60.39,06/18/2020,60.39,109.0,06/18/2020,North Richard,Lake Brittanyview,SUV,Enterprise,4.0,195.0,Partial,Cancelled,3144.0,1
10898,109,Aracaju (SE),Sao Paulo (SP),firstClass,752.27,1.02,392.76,Rainbow,24/09/2020,109,Hotel AF,Sao Paulo (SP),3,139.1,09/24/2020,417.3,109.0,09/24/2020,West Amy,East Steveberg,Sedan,Avis,5.0,313.0,Prepaid,Confirmed,3806.0,1
10920,109,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,25/02/2021,109,Hotel AF,Sao Paulo (SP),3,139.1,02/25/2021,417.3,109.0,02/25/2021,Lake Mark,Lake Katie,Hatchback,Enterprise,5.0,144.0,Partial,Confirmed,1643.0,1
10923,109,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,18/03/2021,109,Hotel BD,Natal (RN),3,242.88,03/18/2021,728.64,109.0,03/18/2021,New Carlos,Robinsonside,SUV,Hertz,4.0,438.0,Prepaid,Confirmed,6045.0,1
10931,109,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,13/05/2021,109,Hotel BD,Natal (RN),2,242.88,05/13/2021,485.76,109.0,05/13/2021,Port Jonathan,Jefferystad,Sedan,Enterprise,4.0,193.0,Prepaid,Confirmed,2530.0,1
10946,109,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,2.3,885.57,FlyingDrops,26/08/2021,109,Hotel CB,Rio de Janeiro (RJ),3,165.99,08/26/2021,497.97,109.0,08/26/2021,Madelinemouth,Weaverhaven,Hatchback,Hertz,3.0,347.0,Partial,Cancelled,3172.0,1
10983,109,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,05/12/2022,109,Hotel AF,Sao Paulo (SP),2,139.1,05/12/2022,278.2,109.0,05/12/2022,West Karenhaven,Port Richard,Hatchback,Hertz,1.0,284.0,Partial,Pending,2541.0,1
10995,110,Brasilia (DF),Campo Grande (MS),firstClass,1009.71,0.72,277.7,FlyingDrops,10/03/2019,110,Hotel BW,Campo Grande (MS),2,60.39,10/03/2019,120.78,110.0,10/03/2019,South Benjaminport,Kimberlyview,SUV,Avis,3.0,443.0,Full-to-Full,Pending,5998.0,1
11025,110,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,30/04/2020,110,Hotel BD,Natal (RN),3,242.88,04/30/2020,728.64,110.0,04/30/2020,North Judithview,Stephenburgh,Luxury,Budget,1.0,322.0,Full-to-Full,Cancelled,7436.0,1
11085,110,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,24/06/2021,110,Hotel A,Florianopolis (SC),1,313.02,06/24/2021,313.02,110.0,06/24/2021,Sheilatown,Padillaside,Sedan,Budget,3.0,404.0,Partial,Cancelled,4591.0,1
11089,110,Recife (PE),Sao Paulo (SP),firstClass,883.63,1.26,486.52,CloudFy,22/07/2021,110,Hotel AF,Sao Paulo (SP),1,139.1,07/22/2021,139.1,110.0,07/22/2021,New Anthony,Marshallside,Luxury,Sixt,4.0,98.0,Prepaid,Pending,3404.0,1
11254,111,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,30/09/2021,111,Hotel K,Salvador (BH),2,263.41,09/30/2021,526.82,111.0,09/30/2021,Yangstad,Sellersport,Hatchback,Hertz,4.0,486.0,Full-to-Full,Pending,4334.0,1
11261,111,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,18/11/2021,111,Hotel BW,Campo Grande (MS),3,60.39,11/18/2021,181.17,111.0,11/18/2021,Annehaven,Lewismouth,SUV,Hertz,4.0,399.0,Partial,Cancelled,5586.0,1
11284,111,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,28/04/2022,111,Hotel AF,Sao Paulo (SP),2,139.1,04/28/2022,278.2,111.0,04/28/2022,East Angelashire,Lake Melissa,Hatchback,Avis,4.0,121.0,Prepaid,Confirmed,1410.0,1
11334,111,Recife (PE),Salvador (BH),premium,1249.83,2.05,788.55,Rainbow,13/04/2023,111,Hotel K,Salvador (BH),4,263.41,04/13/2023,1053.64,111.0,04/13/2023,Williamston,Laurenland,SUV,Enterprise,1.0,103.0,Prepaid,Confirmed,1759.0,1
11388,112,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,17/09/2020,112,Hotel AF,Sao Paulo (SP),3,139.1,09/17/2020,417.3,112.0,09/17/2020,Wattsberg,Davidside,Hatchback,Budget,3.0,373.0,Full-to-Full,Confirmed,3355.0,1
11392,112,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,15/10/2020,112,Hotel AF,Sao Paulo (SP),4,139.1,10/15/2020,556.4,112.0,10/15/2020,East Erica,Port Shawn,Hatchback,Sixt,2.0,175.0,Full-to-Full,Confirmed,1743.0,1
11415,112,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,25/03/2021,112,Hotel BP,Brasilia (DF),4,247.62,03/25/2021,990.48,112.0,03/25/2021,Megantown,Rebeccaburgh,Luxury,Avis,5.0,247.0,Partial,Confirmed,6516.0,1
11472,112,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,28/04/2022,112,Hotel BP,Brasilia (DF),3,247.62,04/28/2022,742.86,112.0,04/28/2022,South Jillian,Emmaberg,Luxury,Sixt,5.0,149.0,Full-to-Full,Confirmed,4553.0,1
11537,113,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,11/07/2019,113,Hotel K,Salvador (BH),2,263.41,11/07/2019,526.82,113.0,11/07/2019,East Jason,New Diane,Sedan,Avis,1.0,485.0,Full-to-Full,Cancelled,5232.0,1
11541,113,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,12/05/2019,113,Hotel Z,Aracaju (SE),3,208.04,12/05/2019,624.12,113.0,12/05/2019,South Olivialand,Andersonstad,SUV,Budget,3.0,422.0,Prepaid,Cancelled,5761.0,1
11567,113,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,06/04/2020,113,Hotel BD,Natal (RN),1,242.88,06/04/2020,242.88,113.0,06/04/2020,New Darryl,West Maurice,Sedan,Budget,3.0,52.0,Partial,Confirmed,1040.0,1
11572,113,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,07/09/2020,113,Hotel BD,Natal (RN),4,242.88,07/09/2020,971.52,113.0,07/09/2020,New Danielle,New Stephen,Luxury,Enterprise,4.0,354.0,Full-to-Full,Confirmed,8495.0,1
11602,113,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,02/04/2021,113,Hotel BD,Natal (RN),4,242.88,02/04/2021,971.52,113.0,02/04/2021,Waynestad,East Debra,Luxury,Budget,5.0,320.0,Full-to-Full,Cancelled,7965.0,1
11649,114,Brasilia (DF),Natal (RN),premium,1107.52,1.43,550.69,Rainbow,10/03/2019,114,Hotel BD,Natal (RN),2,242.88,10/03/2019,485.76,114.0,10/03/2019,Raymouth,Port Rachelfurt,Sedan,Avis,4.0,212.0,Partial,Cancelled,2729.0,1
11713,115,Brasilia (DF),Rio de Janeiro (RJ),premium,457.95,0.48,183.37,CloudFy,25/06/2020,115,Hotel CB,Rio de Janeiro (RJ),4,165.99,06/25/2020,663.96,115.0,06/25/2020,West Bryan,Wattstown,Hatchback,Enterprise,5.0,88.0,Prepaid,Pending,1191.0,1
11714,115,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,07/02/2020,115,Hotel A,Florianopolis (SC),1,313.02,07/02/2020,313.02,115.0,07/02/2020,Anitafort,Port Laurashire,Hatchback,Hertz,2.0,423.0,Partial,Cancelled,3703.0,1
11754,115,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,04/08/2021,115,Hotel CB,Rio de Janeiro (RJ),3,165.99,04/08/2021,497.97,115.0,04/08/2021,North Pamelatown,North Charlesmouth,Hatchback,Enterprise,4.0,405.0,Partial,Pending,3675.0,1
11830,115,Brasilia (DF),Natal (RN),firstClass,1434.91,1.43,550.69,Rainbow,22/09/2022,115,Hotel BD,Natal (RN),3,242.88,09/22/2022,728.64,115.0,09/22/2022,Port Ruthhaven,Garnertown,Luxury,Budget,1.0,160.0,Partial,Cancelled,4190.0,1
11842,115,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,15/12/2022,115,Hotel Z,Aracaju (SE),3,208.04,12/15/2022,624.12,115.0,12/15/2022,Kellyfort,Port Russell,SUV,Sixt,4.0,260.0,Prepaid,Cancelled,3907.0,1
11850,115,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,02/09/2023,115,Hotel K,Salvador (BH),4,263.41,02/09/2023,1053.64,115.0,02/09/2023,East Katherine,Blakeville,Sedan,Hertz,2.0,101.0,Prepaid,Confirmed,1477.0,1
11880,116,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,16/04/2020,116,Hotel Z,Aracaju (SE),4,208.04,04/16/2020,832.16,116.0,04/16/2020,Grosston,South Thomas,SUV,Sixt,1.0,304.0,Partial,Cancelled,4164.0,1
11898,116,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,20/08/2020,116,Hotel BD,Natal (RN),1,242.88,08/20/2020,242.88,116.0,08/20/2020,Mendezton,South Kiara,Hatchback,Sixt,5.0,72.0,Partial,Confirmed,1046.0,1
11932,116,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,15/04/2021,116,Hotel CB,Rio de Janeiro (RJ),4,165.99,04/15/2021,663.96,116.0,04/15/2021,Andrewberg,West Christopher,SUV,Budget,4.0,85.0,Full-to-Full,Cancelled,1825.0,1
