travelCode_outbound,User_ID,flightType_outbound,Flight_price_outbound,Flight_agency_outbound,Departure_date_outbound,Departure_outbound,Arrival_outbound,Flight Distance (km)_outbound,Flight Duration (hh:mm)_outbound,Departure Time_outbound,Arrival Time_outbound,flight_number_outbound,travelCode_return,flightType_return,Flight_price_return,Flight_agency_return,Departure_date_return,Departure_return,Arrival_return,Flight Distance (km)_return,Flight Duration (hh:mm)_return,Departure Time_return,Arrival Time_return,flight_number_return
24803,241,firstClass,1434.38,AirAsia India,25/11/2021,Diu,Prayagraj,1228.59,01:21,16:08,17:29,I55253,24842,firstClass,1723.71,Akasa Air,25/08/2022,Prayagraj,Diu,1228.59,01:21,12:49,14:10,QP1930F
24842,241,firstClass,1723.71,Akasa Air,25/08/2022,Prayagraj,Diu,1228.59,01:21,12:49,14:10,QP1930F,24803,firstClass,1434.38,AirAsia India,25/11/2021,Diu,Prayagraj,1228.59,01:21,16:08,17:29,I55253
24886,241,firstClass,1376.09,GoAir,29/06/2023,Mumbai,Itanagar,2295.82,02:33,00:32,03:05,G81423E,24762,premium,1021.53,IndiGo,02/11/2021,Itanagar,Mumbai,2295.82,02:33,12:38,15:11,6E371
25199,243,premium,1174.97,IndiGo,30/06/2022,Mopa,Chandigarh,7727.09,08:35,02:25,11:00,6E980,25213,premium,474.6,IndiGo,10/06/2022,Chandigarh,Mopa,7727.09,08:35,01:47,10:22,6E723C
25213,243,premium,474.6,IndiGo,10/06/2022,Chandigarh,Mopa,7727.09,08:35,01:47,10:22,6E723C,25199,premium,1174.97,IndiGo,30/06/2022,Mopa,Chandigarh,7727.09,08:35,02:25,11:00,6E980
25363,245,economic,964.83,IndiGo,04/02/2020,Bhubaneswar,Puducherry,1127.04,01:15,01:26,02:41,6E117D,25436,economic,717.04,IndiGo,26/08/2021,Puducherry,Bhubaneswar,1127.04,01:15,02:57,04:12,6E355E
25436,245,economic,717.04,IndiGo,26/08/2021,Puducherry,Bhubaneswar,1127.04,01:15,02:57,04:12,6E355E,25363,economic,964.83,IndiGo,04/02/2020,Bhubaneswar,Puducherry,1127.04,01:15,01:26,02:41,6E117D
25976,250,premium,630.34,IndiGo,16/04/2020,Vadodara,Udaipur,259.41,00:17,13:20,13:37,6E577C,25984,economic,726.19,SpiceJet,06/11/2020,Udaipur,Vadodara,259.41,00:17,01:32,01:49,SG7666
25984,250,economic,726.19,SpiceJet,06/11/2020,Udaipur,Vadodara,259.41,00:17,01:32,01:49,SG7666,25976,premium,630.34,IndiGo,16/04/2020,Vadodara,Udaipur,259.41,00:17,13:20,13:37,6E577C
26193,251,premium,831.7,IndiGo,05/06/2021,Ludhiana,Udaipur,734.24,00:48,13:43,14:31,6E881D,26242,firstClass,1470.41,SpiceJet,14/04/2022,Udaipur,Ludhiana,734.24,00:48,19:46,20:34,SG1993
26242,251,firstClass,1470.41,SpiceJet,14/04/2022,Udaipur,Ludhiana,734.24,00:48,19:46,20:34,SG1993,26193,premium,831.7,IndiGo,05/06/2021,Ludhiana,Udaipur,734.24,00:48,13:43,14:31,6E881D
26701,258,firstClass,1723.71,Akasa Air,26/09/2019,Bhubaneswar,Ranchi,345.72,00:23,06:18,06:41,QP1444B,26787,firstClass,752.27,Akasa Air,20/05/2021,Ranchi,Bhubaneswar,345.72,00:23,01:21,01:44,QP1976
26787,258,firstClass,752.27,Akasa Air,20/05/2021,Ranchi,Bhubaneswar,345.72,00:23,01:21,01:44,QP1976,26701,firstClass,1723.71,Akasa Air,26/09/2019,Bhubaneswar,Ranchi,345.72,00:23,06:18,06:41,QP1444B
27159,261,premium,930.12,SpiceJet,12/10/2020,Itanagar,Ayodhya,1130.61,01:15,19:17,20:32,SG2096,27205,firstClass,1371.83,Akasa Air,28/10/2021,Ayodhya,Itanagar,1130.61,01:15,23:46,01:01,QP1339D
27205,261,firstClass,1371.83,Akasa Air,28/10/2021,Ayodhya,Itanagar,1130.61,01:15,23:46,01:01,QP1339D,27159,premium,930.12,SpiceJet,12/10/2020,Itanagar,Ayodhya,1130.61,01:15,19:17,20:32,SG2096
27557,264,firstClass,957.68,Air India,23/09/2021,Gwalior,Kolkata,1109.04,01:13,12:40,13:53,AI852C,27631,premium,932.22,Akasa Air,23/02/2023,Kolkata,Gwalior,1109.04,01:13,14:55,16:08,QP1912
27631,264,premium,932.22,Akasa Air,23/02/2023,Kolkata,Gwalior,1109.04,01:13,14:55,16:08,QP1912,27557,firstClass,957.68,Air India,23/09/2021,Gwalior,Kolkata,1109.04,01:13,12:40,13:53,AI852C
28039,268,economic,301.51,IndiGo,04/02/2020,Amritsar,Ahmedabad,982.17,01:05,14:58,16:03,6E824C,28139,firstClass,539.39,GoAir,03/03/2022,Ahmedabad,Amritsar,982.17,01:05,10:05,11:10,G81802
28139,268,firstClass,539.39,GoAir,03/03/2022,Ahmedabad,Amritsar,982.17,01:05,10:05,11:10,G81802,28039,economic,301.51,IndiGo,04/02/2020,Amritsar,Ahmedabad,982.17,01:05,14:58,16:03,6E824C
28674,274,firstClass,1389.37,IndiGo,10/01/2020,Vijayawada,Itanagar,1779.49,01:58,16:31,18:29,6E616,28692,firstClass,628.96,SpiceJet,02/04/2021,Itanagar,Vijayawada,1779.49,01:58,12:40,14:38,SG8782
28692,274,firstClass,628.96,SpiceJet,02/04/2021,Itanagar,Vijayawada,1779.49,01:58,12:40,14:38,SG8782,28674,firstClass,1389.37,IndiGo,10/01/2020,Vijayawada,Itanagar,1779.49,01:58,16:31,18:29,6E616
29674,284,firstClass,1166.1,Air India,12/05/2019,Vadodara,Srinagar,1319.83,01:27,19:52,21:19,AI960,29724,economic,964.83,IndiGo,19/11/2020,Srinagar,Vadodara,1319.83,01:27,17:07,18:34,6E633D
29724,284,economic,964.83,IndiGo,19/11/2020,Srinagar,Vadodara,1319.83,01:27,17:07,18:34,6E633D,29674,firstClass,1166.1,Air India,12/05/2019,Vadodara,Srinagar,1319.83,01:27,19:52,21:19,AI960
29782,284,economic,538.95,Air India,30/12/2021,Puducherry,Hisar,6534.35,07:15,20:10,03:25,AI830C,29794,premium,1242.65,IndiGo,24/03/2022,Hisar,Puducherry,6534.35,07:15,12:44,19:59,6E784
29794,284,premium,1242.65,IndiGo,24/03/2022,Hisar,Puducherry,6534.35,07:15,12:44,19:59,6E784,29782,economic,538.95,Air India,30/12/2021,Puducherry,Hisar,6534.35,07:15,20:10,03:25,AI830C
29887,285,firstClass,1434.38,GoAir,06/11/2020,Pune,Mysuru,753.37,00:50,19:09,19:59,G81402D,29917,firstClass,1088.87,GoAir,01/07/2021,Mysuru,Pune,753.37,00:50,11:48,12:38,G81456
29917,285,firstClass,1088.87,GoAir,01/07/2021,Mysuru,Pune,753.37,00:50,11:48,12:38,G81456,29887,firstClass,1434.38,GoAir,06/11/2020,Pune,Mysuru,753.37,00:50,19:09,19:59,G81402D
29992,287,premium,1132.81,SpiceJet,27/02/2020,Chandigarh,Chennai,1994.79,02:12,18:25,20:37,SG3460B,30039,premium,559.13,SpiceJet,21/01/2021,Chennai,Chandigarh,1994.79,02:12,04:41,06:53,SG7553B
30039,287,premium,559.13,SpiceJet,21/01/2021,Chennai,Chandigarh,1994.79,02:12,04:41,06:53,SG7553B,29992,premium,1132.81,SpiceJet,27/02/2020,Chandigarh,Chennai,1994.79,02:12,18:25,20:37,SG3460B
30080,287,firstClass,1313.76,IndiGo,11/04/2021,Khowai,Imphal,251.02,00:16,17:43,17:59,6E448C,30097,premium,670.13,SpiceJet,03/03/2022,Imphal,Khowai,251.02,00:16,05:06,05:22,SG1524
30097,287,premium,670.13,SpiceJet,03/03/2022,Imphal,Khowai,251.02,00:16,05:06,05:22,SG1524,30080,firstClass,1313.76,IndiGo,11/04/2021,Khowai,Imphal,251.02,00:16,17:43,17:59,6E448C
30438,290,firstClass,804.24,IndiGo,27/02/2020,Thiruvananthapuram,Tirupati,632.91,00:42,17:45,18:27,6E284B,30530,firstClass,1484.94,IndiGo,12/02/2021,Tirupati,Thiruvananthapuram,632.91,00:42,01:51,02:33,6E982
30530,290,firstClass,1484.94,IndiGo,12/02/2021,Tirupati,Thiruvananthapuram,632.91,00:42,01:51,02:33,6E982,30438,firstClass,804.24,IndiGo,27/02/2020,Thiruvananthapuram,Tirupati,632.91,00:42,17:45,18:27,6E284B
30977,296,economic,533.8,Akasa Air,12/12/2019,Kolkata,Gangtok,530.23,00:35,10:37,11:12,QP1446C,31079,firstClass,1110.76,Air India,25/11/2021,Gangtok,Kolkata,530.23,00:35,23:04,23:39,AI571B
31079,296,firstClass,1110.76,Air India,25/11/2021,Gangtok,Kolkata,530.23,00:35,23:04,23:39,AI571B,30977,economic,533.8,Akasa Air,12/12/2019,Kolkata,Gangtok,530.23,00:35,10:37,11:12,QP1446C
31821,306,firstClass,1183.57,Air India,02/06/2020,Ayodhya,Vadodara,1037.96,01:09,12:14,13:23,AI266C,31860,economic,548.62,Akasa Air,11/05/2020,Vadodara,Ayodhya,1037.96,01:09,16:01,17:10,QP1181B
31860,306,economic,548.62,Akasa Air,11/05/2020,Vadodara,Ayodhya,1037.96,01:09,16:01,17:10,QP1181B,31821,firstClass,1183.57,Air India,02/06/2020,Ayodhya,Vadodara,1037.96,01:09,12:14,13:23,AI266C
32115,308,economic,964.83,Air India,16/07/2020,Surat,Itanagar,2204.62,02:26,01:00,03:26,AI540B,32216,premium,1021.53,Air India,23/06/2022,Itanagar,Surat,2204.62,02:26,23:07,01:33,AI710
32216,308,premium,1021.53,Air India,23/06/2022,Itanagar,Surat,2204.62,02:26,23:07,01:33,AI710,32115,economic,964.83,Air India,16/07/2020,Surat,Itanagar,2204.62,02:26,01:00,03:26,AI540B
32411,312,firstClass,1376.09,AirAsia India,30/04/2020,Mumbai,Coimbatore,998.29,01:06,09:27,10:33,I57873,32524,premium,1021.53,Air India,30/06/2022,Coimbatore,Mumbai,998.29,01:06,23:07,00:13,AI459C
32524,312,premium,1021.53,Air India,30/06/2022,Coimbatore,Mumbai,998.29,01:06,23:07,00:13,AI459C,32411,firstClass,1376.09,AirAsia India,30/04/2020,Mumbai,Coimbatore,998.29,01:06,09:27,10:33,I57873
32654,314,firstClass,1582.41,SpiceJet,10/01/2020,Varanasi,Khowai,879.17,00:58,01:08,02:06,SG4584,32752,economic,604.14,IndiGo,18/08/2022,Khowai,Varanasi,879.17,00:58,01:45,02:43,6E213
32673,314,firstClass,1612.39,IndiGo,02/11/2021,Diu,Gwalior,955.7,01:03,15:37,16:40,6E898C,32697,economic,360.22,Akasa Air,29/07/2021,Gwalior,Diu,955.7,01:03,14:25,15:28,QP1214D
32697,314,economic,360.22,Akasa Air,29/07/2021,Gwalior,Diu,955.7,01:03,14:25,15:28,QP1214D,32673,firstClass,1612.39,IndiGo,02/11/2021,Diu,Gwalior,955.7,01:03,15:37,16:40,6E898C
32752,314,economic,604.14,IndiGo,18/08/2022,Khowai,Varanasi,879.17,00:58,01:45,02:43,6E213,32654,firstClass,1582.41,SpiceJet,10/01/2020,Varanasi,Khowai,879.17,00:58,01:08,02:06,SG4584
33696,323,economic,602.49,Akasa Air,12/02/2021,Indore,Imphal,1856.3,02:03,11:53,13:56,QP1514B,33723,premium,573.61,Air India,06/09/2022,Imphal,Indore,1856.3,02:03,17:14,19:17,AI294E
33701,323,firstClass,1706.89,AirAsia India,01/06/2022,Vadodara,Indore,273.65,00:18,14:40,14:58,I57408,33713,economic,964.83,IndiGo,31/03/2022,Indore,Vadodara,273.65,00:18,14:22,14:40,6E813C
33713,323,economic,964.83,IndiGo,31/03/2022,Indore,Vadodara,273.65,00:18,14:22,14:40,6E813C,33701,firstClass,1706.89,AirAsia India,01/06/2022,Vadodara,Indore,273.65,00:18,14:40,14:58,I57408
33723,323,premium,573.61,Air India,06/09/2022,Imphal,Indore,1856.3,02:03,17:14,19:17,AI294E,33696,economic,602.49,Akasa Air,12/02/2021,Indore,Imphal,1856.3,02:03,11:53,13:56,QP1514B
34370,329,economic,344.26,IndiGo,31/10/2019,Dabolim,Jamshedpur,1537.0,01:42,17:22,19:04,6E488B,34467,economic,393.68,Air India,09/09/2021,Jamshedpur,Dabolim,1537.0,01:42,04:50,06:32,AI204C
34467,329,economic,393.68,Air India,09/09/2021,Jamshedpur,Dabolim,1537.0,01:42,04:50,06:32,AI204C,34370,economic,344.26,IndiGo,31/10/2019,Dabolim,Jamshedpur,1537.0,01:42,17:22,19:04,6E488B
35080,337,premium,831.7,IndiGo,26/09/2019,Raipur,Chandigarh,1161.96,01:17,21:41,22:58,6E188,35098,economic,563.71,Air India,30/01/2020,Chandigarh,Raipur,1161.96,01:17,04:21,05:38,AI246D
35098,337,economic,563.71,Air India,30/01/2020,Chandigarh,Raipur,1161.96,01:17,04:21,05:38,AI246D,35080,premium,831.7,IndiGo,26/09/2019,Raipur,Chandigarh,1161.96,01:17,21:41,22:58,6E188
36257,346,firstClass,1088.87,AirAsia India,13/02/2020,Dehradun,Patna,873.23,00:58,20:47,21:45,I52724,36302,economic,717.04,IndiGo,24/12/2020,Patna,Dehradun,873.23,00:58,03:32,04:30,6E956
36302,346,economic,717.04,IndiGo,24/12/2020,Patna,Dehradun,873.23,00:58,03:32,04:30,6E956,36257,firstClass,1088.87,AirAsia India,13/02/2020,Dehradun,Patna,873.23,00:58,20:47,21:45,I52724
36435,348,premium,630.34,IndiGo,05/07/2020,Udaipur,Dhubri,1642.47,01:49,21:40,23:29,6E998B,36517,firstClass,1189.86,Akasa Air,12/02/2021,Dhubri,Udaipur,1642.47,01:49,08:18,10:07,QP1388
36517,348,firstClass,1189.86,Akasa Air,12/02/2021,Dhubri,Udaipur,1642.47,01:49,08:18,10:07,QP1388,36435,premium,630.34,IndiGo,05/07/2020,Udaipur,Dhubri,1642.47,01:49,21:40,23:29,6E998B
36733,351,premium,875.41,Akasa Air,11/07/2019,Jamshedpur,Patna,328.13,00:21,20:47,21:08,QP1021B,36824,firstClass,1124.11,IndiGo,08/05/2021,Patna,Jamshedpur,328.13,00:21,04:11,04:32,6E261B
36824,351,firstClass,1124.11,IndiGo,08/05/2021,Patna,Jamshedpur,328.13,00:21,04:11,04:32,6E261B,36733,premium,875.41,Akasa Air,11/07/2019,Jamshedpur,Patna,328.13,00:21,20:47,21:08,QP1021B
36882,352,premium,588.14,Akasa Air,27/02/2020,Chandigarh,Patna,997.7,01:06,03:57,05:03,QP1175F,37022,premium,875.41,Akasa Air,11/03/2022,Patna,Chandigarh,997.7,01:06,18:38,19:44,QP1910
36893,352,firstClass,577.71,AirAsia India,14/05/2020,Puri,Itanagar,1134.07,01:15,17:46,19:01,I55995B,36926,premium,835.21,Air India,31/12/2020,Itanagar,Puri,1134.07,01:15,15:59,17:14,AI756
36926,352,premium,835.21,Air India,31/12/2020,Itanagar,Puri,1134.07,01:15,15:59,17:14,AI756,36893,firstClass,577.71,AirAsia India,14/05/2020,Puri,Itanagar,1134.07,01:15,17:46,19:01,I55995B
37022,352,premium,875.41,Akasa Air,11/03/2022,Patna,Chandigarh,997.7,01:06,18:38,19:44,QP1910,36882,premium,588.14,Akasa Air,27/02/2020,Chandigarh,Patna,997.7,01:06,03:57,05:03,QP1175F
37045,353,economic,380.32,SpiceJet,28/11/2019,Vijayawada,Bengaluru,512.14,00:34,03:55,04:29,SG6169,37066,firstClass,1487.52,IndiGo,23/04/2020,Bengaluru,Vijayawada,512.14,00:34,19:24,19:58,6E517
37066,353,firstClass,1487.52,IndiGo,23/04/2020,Bengaluru,Vijayawada,512.14,00:34,19:24,19:58,6E517,37045,economic,380.32,SpiceJet,28/11/2019,Vijayawada,Bengaluru,512.14,00:34,03:55,04:29,SG6169
37570,357,firstClass,1069.61,SpiceJet,02/11/2021,Ranchi,Imphal,891.45,00:59,23:10,00:09,SG1594,37620,firstClass,1260.1,IndiGo,27/01/2022,Imphal,Ranchi,891.45,00:59,12:30,13:29,6E445C
37620,357,firstClass,1260.1,IndiGo,27/01/2022,Imphal,Ranchi,891.45,00:59,12:30,13:29,6E445C,37570,firstClass,1069.61,SpiceJet,02/11/2021,Ranchi,Imphal,891.45,00:59,23:10,00:09,SG1594
37840,362,premium,1021.53,Air India,18/06/2020,Patna,Kota,3390.07,03:46,03:13,06:59,AI767,37901,economic,852.18,Akasa Air,19/08/2021,Kota,Patna,3390.07,03:46,09:08,12:54,QP1341D
37901,362,economic,852.18,Akasa Air,19/08/2021,Kota,Patna,3390.07,03:46,09:08,12:54,QP1341D,37840,premium,1021.53,Air India,18/06/2020,Patna,Kota,3390.07,03:46,03:13,06:59,AI767
38390,369,economic,869.13,IndiGo,03/12/2020,Mopa,Kolkata,8895.51,09:53,23:12,09:05,6E236B,38469,premium,832.77,Akasa Air,16/09/2021,Kolkata,Mopa,8895.51,09:53,23:29,09:22,QP1485E
38425,369,premium,1249.83,Akasa Air,11/12/2020,Chennai,Puducherry,137.25,00:09,17:38,17:47,QP1382C,38460,economic,545.95,SpiceJet,15/07/2021,Puducherry,Chennai,137.25,00:09,10:52,11:01,SG1093
38460,369,economic,545.95,SpiceJet,15/07/2021,Puducherry,Chennai,137.25,00:09,10:52,11:01,SG1093,38425,premium,1249.83,Akasa Air,11/12/2020,Chennai,Puducherry,137.25,00:09,17:38,17:47,QP1382C
38469,369,premium,832.77,Akasa Air,16/09/2021,Kolkata,Mopa,8895.51,09:53,23:29,09:22,QP1485E,38390,economic,869.13,IndiGo,03/12/2020,Mopa,Kolkata,8895.51,09:53,23:12,09:05,6E236B
38668,371,economic,921.08,Akasa Air,26/11/2020,Gwalior,Coimbatore,1697.6,01:53,03:23,05:16,QP1890B,38758,premium,1074.75,Air India,18/08/2022,Coimbatore,Gwalior,1697.6,01:53,06:53,08:46,AI298B
38758,371,premium,1074.75,Air India,18/08/2022,Coimbatore,Gwalior,1697.6,01:53,06:53,08:46,AI298B,38668,economic,921.08,Akasa Air,26/11/2020,Gwalior,Coimbatore,1697.6,01:53,03:23,05:16,QP1890B
38851,372,firstClass,1611.14,Akasa Air,24/12/2020,Bhubaneswar,Itanagar,1095.39,01:13,11:10,12:23,QP1861C,38958,firstClass,1069.61,SpiceJet,01/12/2023,Itanagar,Bhubaneswar,1095.39,01:13,15:27,16:40,SG8769
38958,372,firstClass,1069.61,SpiceJet,01/12/2023,Itanagar,Bhubaneswar,1095.39,01:13,15:27,16:40,SG8769,38851,firstClass,1611.14,Akasa Air,24/12/2020,Bhubaneswar,Itanagar,1095.39,01:13,11:10,12:23,QP1861C
40259,389,firstClass,1313.76,Air India,23/07/2020,Raigarh,Khowai,873.79,00:58,04:01,04:59,AI859B,40386,firstClass,1499.93,AirAsia India,29/12/2022,Khowai,Raigarh,873.79,00:58,09:39,10:37,I51994
40386,389,firstClass,1499.93,AirAsia India,29/12/2022,Khowai,Raigarh,873.79,00:58,09:39,10:37,I51994,40259,firstClass,1313.76,Air India,23/07/2020,Raigarh,Khowai,873.79,00:58,04:01,04:59,AI859B
41398,402,firstClass,1470.41,SpiceJet,11/07/2019,Chennai,Khowai,1705.2,01:53,09:49,11:42,SG3154B,41482,premium,440.69,SpiceJet,17/06/2021,Khowai,Chennai,1705.2,01:53,11:25,13:18,SG2631
41482,402,premium,440.69,SpiceJet,17/06/2021,Khowai,Chennai,1705.2,01:53,11:25,13:18,SG2631,41398,firstClass,1470.41,SpiceJet,11/07/2019,Chennai,Khowai,1705.2,01:53,09:49,11:42,SG3154B
43427,425,firstClass,883.63,IndiGo,26/12/2019,Guwahati,Ludhiana,1636.98,01:49,03:42,05:31,6E771B,43518,premium,1346.6,IndiGo,23/09/2021,Ludhiana,Guwahati,1636.98,01:49,02:26,04:15,6E908B
43518,425,premium,1346.6,IndiGo,23/09/2021,Ludhiana,Guwahati,1636.98,01:49,02:26,04:15,6E908B,43427,firstClass,883.63,IndiGo,26/12/2019,Guwahati,Ludhiana,1636.98,01:49,03:42,05:31,6E771B
43568,426,premium,831.7,IndiGo,12/12/2019,Ranchi,Ahmedabad,1300.45,01:26,19:42,21:08,6E542,43592,premium,588.14,Akasa Air,28/05/2020,Ahmedabad,Ranchi,1300.45,01:26,02:01,03:27,QP1932C
43592,426,premium,588.14,Akasa Air,28/05/2020,Ahmedabad,Ranchi,1300.45,01:26,02:01,03:27,QP1932C,43568,premium,831.7,IndiGo,12/12/2019,Ranchi,Ahmedabad,1300.45,01:26,19:42,21:08,6E542
44436,434,firstClass,730.43,IndiGo,11/12/2020,Srinagar,Gwalior,931.43,01:02,05:51,06:53,6E963D,44470,firstClass,992.17,Akasa Air,07/08/2021,Gwalior,Srinagar,931.43,01:02,07:53,08:55,QP1952
44470,434,firstClass,992.17,Akasa Air,07/08/2021,Gwalior,Srinagar,931.43,01:02,07:53,08:55,QP1952,44436,firstClass,730.43,IndiGo,11/12/2020,Srinagar,Gwalior,931.43,01:02,05:51,06:53,6E963D
44661,436,premium,750.0,SpiceJet,28/05/2020,Coimbatore,Bhubaneswar,1400.3,01:33,12:36,14:09,SG6239,44813,firstClass,691.39,AirAsia India,27/04/2023,Bhubaneswar,Coimbatore,1400.3,01:33,17:03,18:36,I52055
44672,436,firstClass,1371.83,SpiceJet,13/08/2020,Jaipur,Patna,943.53,01:02,00:02,01:04,SG4472,44689,firstClass,1069.12,Akasa Air,12/10/2020,Patna,Jaipur,943.53,01:02,17:08,18:10,QP1597B
44689,436,firstClass,1069.12,Akasa Air,12/10/2020,Patna,Jaipur,943.53,01:02,17:08,18:10,QP1597B,44672,firstClass,1371.83,SpiceJet,13/08/2020,Jaipur,Patna,943.53,01:02,00:02,01:04,SG4472
44813,436,firstClass,691.39,AirAsia India,27/04/2023,Bhubaneswar,Coimbatore,1400.3,01:33,17:03,18:36,I52055,44661,premium,750.0,SpiceJet,28/05/2020,Coimbatore,Bhubaneswar,1400.3,01:33,12:36,14:09,SG6239
45043,440,firstClass,804.24,IndiGo,17/09/2020,Raigarh,Vijayawada,665.24,00:44,15:17,16:01,6E650,45119,firstClass,1166.1,Air India,03/03/2022,Vijayawada,Raigarh,665.24,00:44,03:57,04:41,AI804
45119,440,firstClass,1166.1,Air India,03/03/2022,Vijayawada,Raigarh,665.24,00:44,03:57,04:41,AI804,45043,firstClass,804.24,IndiGo,17/09/2020,Raigarh,Vijayawada,665.24,00:44,15:17,16:01,6E650
45268,441,firstClass,1181.19,SpiceJet,20/01/2022,Vadodara,Shimla,1054.83,01:10,21:52,23:02,SG6657,45297,firstClass,1582.41,SpiceJet,08/11/2022,Shimla,Vadodara,1054.83,01:10,16:57,18:07,SG1416
45297,441,firstClass,1582.41,SpiceJet,08/11/2022,Shimla,Vadodara,1054.83,01:10,16:57,18:07,SG1416,45268,firstClass,1181.19,SpiceJet,20/01/2022,Vadodara,Shimla,1054.83,01:10,21:52,23:02,SG6657
46029,448,economic,538.95,Air India,05/12/2022,Dehradun,Gangtok,1082.57,01:12,11:30,12:42,AI169E,46071,firstClass,1723.71,Akasa Air,03/02/2023,Gangtok,Dehradun,1082.57,01:12,15:40,16:52,QP1479B
46071,448,firstClass,1723.71,Akasa Air,03/02/2023,Gangtok,Dehradun,1082.57,01:12,15:40,16:52,QP1479B,46029,economic,538.95,Air India,05/12/2022,Dehradun,Gangtok,1082.57,01:12,11:30,12:42,AI169E
46113,449,premium,1346.6,Air India,05/07/2020,Puducherry,Udaipur,1547.27,01:43,11:16,12:59,AI912D,46121,firstClass,1189.86,SpiceJet,07/02/2020,Udaipur,Puducherry,1547.27,01:43,09:55,11:38,SG3663
46121,449,firstClass,1189.86,SpiceJet,07/02/2020,Udaipur,Puducherry,1547.27,01:43,09:55,11:38,SG3663,46113,premium,1346.6,Air India,05/07/2020,Puducherry,Udaipur,1547.27,01:43,11:16,12:59,AI912D
46192,450,firstClass,1724.49,GoAir,13/02/2020,Puducherry,Varanasi,1525.15,01:41,02:00,03:41,G81233C,46247,firstClass,1685.23,Air India,03/04/2021,Varanasi,Puducherry,1525.15,01:41,23:36,01:17,AI329C
46247,450,firstClass,1685.23,Air India,03/04/2021,Varanasi,Puducherry,1525.15,01:41,23:36,01:17,AI329C,46192,firstClass,1724.49,GoAir,13/02/2020,Puducherry,Varanasi,1525.15,01:41,02:00,03:41,G81233C
46247,450,firstClass,1685.23,Air India,03/04/2021,Varanasi,Puducherry,1525.15,01:41,23:36,01:17,AI329C,46309,economic,654.88,Air India,05/12/2022,Puducherry,Varanasi,1525.15,01:41,10:29,12:10,AI342D
46309,450,economic,654.88,Air India,05/12/2022,Puducherry,Varanasi,1525.15,01:41,10:29,12:10,AI342D,46247,firstClass,1685.23,Air India,03/04/2021,Varanasi,Puducherry,1525.15,01:41,23:36,01:17,AI329C
46776,454,firstClass,732.89,IndiGo,24/03/2022,Bhopal,Mumbai,660.14,00:44,12:55,13:39,6E568C,46822,premium,1215.45,IndiGo,02/09/2023,Mumbai,Bhopal,660.14,00:44,20:50,21:34,6E760C
46822,454,premium,1215.45,IndiGo,02/09/2023,Mumbai,Bhopal,660.14,00:44,20:50,21:34,6E760C,46776,firstClass,732.89,IndiGo,24/03/2022,Bhopal,Mumbai,660.14,00:44,12:55,13:39,6E568C
47027,456,premium,1363.27,IndiGo,25/06/2020,Diu,Chennai,1302.03,01:26,04:14,05:40,6E585D,47107,premium,1363.27,Air India,01/06/2022,Chennai,Diu,1302.03,01:26,11:50,13:16,AI292B
47107,456,premium,1363.27,Air India,01/06/2022,Chennai,Diu,1302.03,01:26,11:50,13:16,AI292B,47027,premium,1363.27,IndiGo,25/06/2020,Diu,Chennai,1302.03,01:26,04:14,05:40,6E585D
47159,458,premium,991.22,Akasa Air,10/10/2019,Diu,Ahmedabad,305.78,00:20,03:37,03:57,QP1502C,47197,premium,661.32,IndiGo,07/02/2020,Ahmedabad,Diu,305.78,00:20,18:26,18:46,6E526B
47197,458,premium,661.32,IndiGo,07/02/2020,Ahmedabad,Diu,305.78,00:20,18:26,18:46,6E526B,47159,premium,991.22,Akasa Air,10/10/2019,Diu,Ahmedabad,305.78,00:20,03:37,03:57,QP1502C
47972,466,economic,411.05,SpiceJet,31/10/2019,Amritsar,Mysuru,2156.36,02:23,17:03,19:26,SG3844,47997,premium,652.47,Air India,23/04/2020,Mysuru,Amritsar,2156.36,02:23,04:11,06:34,AI358B
47997,466,premium,652.47,Air India,23/04/2020,Mysuru,Amritsar,2156.36,02:23,04:11,06:34,AI358B,47972,economic,411.05,SpiceJet,31/10/2019,Amritsar,Mysuru,2156.36,02:23,17:03,19:26,SG3844
48846,479,premium,1031.59,IndiGo,04/02/2020,Tirupati,Ayodhya,1492.11,01:39,15:50,17:29,6E151,48910,firstClass,1446.34,Air India,24/06/2021,Ayodhya,Tirupati,1492.11,01:39,16:49,18:28,AI652G
48910,479,firstClass,1446.34,Air India,24/06/2021,Ayodhya,Tirupati,1492.11,01:39,16:49,18:28,AI652G,48846,premium,1031.59,IndiGo,04/02/2020,Tirupati,Ayodhya,1492.11,01:39,15:50,17:29,6E151
49313,483,firstClass,1581.8,Air India,06/03/2021,Udaipur,Chandigarh,747.84,00:49,03:29,04:18,AI320C,49346,firstClass,732.89,IndiGo,20/01/2022,Chandigarh,Udaipur,747.84,00:49,04:52,05:41,6E989C
49346,483,firstClass,732.89,IndiGo,20/01/2022,Chandigarh,Udaipur,747.84,00:49,04:52,05:41,6E989C,49313,firstClass,1581.8,Air India,06/03/2021,Udaipur,Chandigarh,747.84,00:49,03:29,04:18,AI320C
49499,484,economic,659.43,Air India,25/03/2021,Visakhapatnam,Ranchi,666.83,00:44,11:00,11:44,AI982,49504,economic,621.36,Air India,29/04/2021,Ranchi,Visakhapatnam,666.83,00:44,21:20,22:04,AI651D
